INDEX,INDEX_SLUG,INDEX_SLUG_CLEAN,SOURCE,SOURCE_temp,SOURCE_codes,SOURCE_codes_temp,NOM DU LIEU,ADRESSE
pingcarto45_,coworkstation,coworkstation,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,Coworkstation,1 route de Saint Fiacre 44190 Gorges
pingcarto46_,minihub,minihub,PiNG – CGET – CAP Tiers-Lieux,PiNG – France Tiers-Lieux,PiNG-CGET-CAPTL,PiNG-FTL,MiniHub,6 rue des Filatures ZA de Tabari Sud 44190 Clisson
pingcarto47_,le-fablab-pays-d’ancenis,le-fablab-pays-d’ancenis,PiNG – CAP Tiers-Lieux,PiNG – CAP Tiers-Lieux,PiNG-CAPTL,PiNG-CAPTL,Le Fablab Pays d’Ancenis,5 Place Armand de Béthune 44150 Ancenis
pingcarto48_,cultivons-les-cailloux,cultivons-les-cailloux,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Cultivons les Cailloux,119 rue des Douves 44150 Ancenis
pingcarto49_,cowork-notre-dame,cowork-notre-dame,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Cowork Notre Dame,21 Route de Nantes 44430 Le Loroux-Bottereau
pingcarto50_,la-folie,la-folie,CGET,France Tiers-Lieux,CGET,FTL,La Folie,2 bis Avenue de L’Ile de France 85160 St-Jean-de-Monts
pingcarto51_,la-loco-numérique,la-loco-numerique,CGET,France Tiers-Lieux,CGET,FTL,La Loco Numérique,123 Boulevard Louis Blanc 85000 La Roche S/Yon
pingcarto52_,le-village-de-la-vergne,le-village-de-la-vergne,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Village de la Vergne,La Vergne Babouin  85000  La Roche-sur-Yon
pingcarto53_,lab-ouest,lab-ouest,PiNG,PiNG,PiNG,PiNG,Lab Ouest,123 Boulevard Louis Blanc 85000 La Roche-sur-Yon
pingcarto54_,espace-flo-tille,espace-flo-tille,CGET,France Tiers-Lieux,CGET,FTL,Espace Flo'tille,31 bis rue Amiral Alquier La Flocellière Sèvremont
pingcarto55_,le-girafoscope-–-armulete,le-girafoscope-–-armulete,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Girafoscope – ArMulETe,69 bis rue des Loges 85200 Fontenay-le-Comte
pingcarto56_,lab’oddas’sieux,lab’oddas’sieux,CGET – CAP Tiers-Lieux – PiNG,France Tiers-Lieux – CAP Tiers-Lieux – PiNG,CGET – CAPTL – PiNG,FTL – CAPTL – PiNG,Lab’Oddas’Sieux,Maison de quartier 11 rue du Gaingalet 85200 Fontenay-le-Comte
pingcarto57_,le-ludy-lab,le-ludy-lab,PiNG – CAP Tiers-Lieux,PiNG – CAP Tiers-Lieux,PiNG-CAPTL,PiNG-CAPTL,Le Ludy Lab,2 rue du Bocage Chambretaud 85500 Chanverrie
pingcarto58_,le-moulin-créatif,le-moulin-creatif,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Moulin créatif,4 rue Saint-Exupéry 85600 Saint-Hilaire-De-Loulay
pingcarto59_,le-boc@l,le-boc@l,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Le boc@l,Centre social du chemillois 5 rue de la Gabradière 49120 Chemillé en Anjou
pingcarto60_,weforge-angers,weforge-angers,CGET,France Tiers-Lieux,CGET,FTL,Weforge Angers,25 rue Lenepveu 49000 Angers
pingcarto61_,espace-oasis,espace-oasis,CGET,France Tiers-Lieux,CGET,FTL,Espace OASIS,1 Rue Saint Samson 49100 Angers
pingcarto62_,espace-oasis-2,espace-oasis-2,CGET,France Tiers-Lieux,CGET,FTL,Espace OASIS 2,12 Rue Saint Maurille 49100 Angers
pingcarto63_,synerj,synerj,CGET,France Tiers-Lieux,CGET,FTL,SynerJ,12 place Imbach 49100 Angers
pingcarto64_,espace-co-49,espace-co-49,CGET,France Tiers-Lieux,CGET,FTL,ESPACE CO 49,6 Rue René Brémont 49100 Angers
pingcarto65_,le-122---paï-paï,le-122---pai-pai,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le 122 - Paï Paï,122 Rue de la Chalouère 49100 Angers
pingcarto66_,villa-angers-french-tech,villa-angers-french-tech,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Villa Angers French Tech,8 place Monseigneur Rumeau 49100 Angers
pingcarto67_,le-roch-lab,le-roch-lab,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Roch'Lab,ZA les Gours  49190 Rochefort sur Loire
pingcarto68_,centrale-7,centrale-7,PiNG-CAP Tiers-Lieux,PiNG-CAP Tiers-Lieux,PiNG-CAPTL,PiNG-CAPTL,Centrale 7,Rue du Carreau de Bois II Nyoiseau 49500 Segré-en-Anjou Bleu
pingcarto69_,c-est-bio-l-anjou,c-est-bio-l-anjou,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,C'est Bio l'Anjou,56 Avenue d'Angers 49190 Rochefort-sur-Loire
pingcarto70_,ßricolab,ssricolab,PiNG,PiNG,PiNG,PiNG,ßricoLab,"8  Rue de Bellevue 49800 Loire-Authion
"
pingcarto71_,centre-social-l-atelier,centre-social-l-atelier,PiNG,PiNG,PiNG,PiNG,Centre Social l'Atelier,5 rue de Savennières 49170 St-Georges sur Loire
pingcarto72_,centre-social-espace-baugeois,centre-social-espace-baugeois,PiNG,PiNG,PiNG,PiNG,Centre social ESPACE Baugeois,Square du pont des fées Baugé 49150 Baugé en Anjou
pingcarto73_,regus-express-le-mans,regus-express-le-mans,CGET,France Tiers-Lieux,CGET,FTL,Regus Express Le Mans,Place du 8 Mai 1945 72000 Le Mans
pingcarto74_,la-ruche-numérique,la-ruche-numerique,CGET,France Tiers-Lieux,CGET,FTL,La Ruche Numérique,1 Boulevard René Levasseur 72100 Le Mans
pingcarto75_,la-tribu-co_working,la-tribu-co_working,CGET,France Tiers-Lieux,CGET,FTL,La Tribu Co_working,10 Rue du Docteur Leroy 72100 Le Mans
pingcarto76_,hangar-créalab,hangar-crealab,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Hangar Créalab,43 Place d’Alger 72000 Le Mans
pingcarto77_,village-factory-asnière-sur-vègre,village-factory-asniere-sur-vegre,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,Village Factory Asnière-sur-Vègre,2 bis Rue du Lavoir 72430 Asnières-sur-Vègre
pingcarto78_,haum,haum,CGET – PiNG,France Tiers-Lieux – PiNG,CGET-PiNG,FTL-PiNG,HAUM,(2eme étage) 57 boulevard Demorieux  72100 Le Mans
pingcarto79_,le-2-4,le-2-4,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le 2-4,2-4 rue des rosiers 53140 Pré-en-Pail 
pingcarto80_,tiers-lieu-à-st-denis-de-gastines,tiers-lieu-a-st-denis-de-gastines,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Tiers-Lieu à St-Denis-de-Gastines,2 rue de Bretagne 53500 Saint-Denis-de-Gastines
pingcarto81_,coworking@lude,coworking@lude,CGET,France Tiers-Lieux,CGET,FTL,Coworking@lude,Allée de l'ancienne gare 72800 Le Lude
pingcarto82_,la-salle-à-manger-coworking,la-salle-a-manger-coworking,CGET,France Tiers-Lieux,CGET,FTL,La Salle à Manger coworking,54 rue des hauts pavés 44000 Nantes
pingcarto83_,ici-nantes,ici-nantes,CGET – PiNG,France Tiers-Lieux – PiNG,CGET – PiNG,FTL – PiNG,ICI Nantes,24  rue de la Mitrie 44000 NANTES
pingcarto84_,placetoco,placetoco,CGET,France Tiers-Lieux,CGET,FTL,PlaceToCo,Immeuble Philae ZAC de la Colleraye  44260 Savenay
pingcarto85_,l-usine-tribu-créative,l-usine-tribu-creative,CGET,France Tiers-Lieux,CGET,FTL,L'Usine-Tribu Créative,4 rue Marie Curie P.A. Vendée sud Loire 1
pingcarto86_,food-lab-solidaire,food-lab-solidaire,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,Food Lab Solidaire,Allée des caves 49650 Brain sur Allonnes
pingcarto87_,le-palace,le-palace,CGET,France Tiers-Lieux,CGET,FTL,Le Palace,4 rue Voltaire 44000 Nantes
pingcarto88_,la-bernitude,la-bernitude,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,La Bernitude,28 Rue des Courettes 44760 La Bernerie-en-Retz
pingcarto89_,la-mine-au-tri,la-mine-au-tri,CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL,La Mine au Tri,13 Rue du Huit Mai 44650 Corcoué-sur-Logne
pingcarto90_,"-château-de-landebaudière-
","-chateau-de-landebaudiere-
",CGET – CAP Tiers-Lieux,France Tiers-Lieux – CAP Tiers-Lieux,CGET-CAPTL,FTL-CAPTL," Château de Landebaudière 
",Rue du Commandant Sauvageot 85130 La Gaubretière
pingcarto91_,le-centre-&-co,le-centre-&-co,CGET,France Tiers-Lieux,CGET,FTL,Le Centre & Co,10 Rue octave voyer 85100 Les Sables d'Olonne
pingcarto92_,le-cercle-pointu,le-cercle-pointu,CGET,France Tiers-Lieux,CGET,FTL,Le Cercle Pointu,Rue de la Broderie 49120 Chemillé-en-Anjou
pingcarto93_,le-puzzle,le-puzzle,CGET,France Tiers-Lieux,CGET,FTL,Le Puzzle,24 rue Crébillon 44000 Nantes
pingcarto94_,loircowork,loircowork,CGET,France Tiers-Lieux,CGET,FTL,Loircowork,"Zone d’Activités Economiques de l’Aurière 72340 Loir en Vallée
"
pingcarto95_,work-in-excess,work-in-excess,CGET,France Tiers-Lieux,CGET,FTL,Work in Excess,182 rue paul Bellamy 44000 Nantes
